Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
118,theofficialpeppa,http://youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg,Peppa Pig - Official Channel,Toys,27900000,,974400,4500,
119,TheLateLateShow,http://youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,AnimationHumor,27900000,United States,88600,2000,116
120,TalkingTomCat,http://youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g,Talking Tom,,27900000,United States,174000,3000,
121,MrBeast Gaming,http://youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA,MrBeast Gaming,AnimationVideo games,27900000,United States,7300000,320600,16500
122,Wow Kidz,http://youtube.com/channel/UCN8S4CqMRy6tVKVXvs7Bzeg,Wow Kidz,AnimationHumor,27700000,,56800,549,
123,Techno Gamerz,http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,,27600000,India,7100000,407400,19600
124,PowerKids,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw,PowerKids,MoviesAnimation,27500000,India,184600,,
125,Little Angel: Nursery Rhymes & Kids Songs,http://youtube.com/channel/UCNzsYU0aWwjERj-9Y9HUEng,Little Angel: Nursery Rhymes & Kids Songs,Toys,27500000,,867500,3600,
126,GMANETWORK,http://youtube.com/channel/UCKL5hAuzgFQsyrsQKgU0Qng,GMANetwork,,27300000,Philippines,8300,134,9
127,Karolgmusic,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw,KAROL G,Music & Dance,27200000,Colombia,129400,12400,310
128,TheDonato,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ,TheDonato,,27100000,Mexico,324700,36100,110
129,infobellstamil,http://youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg,infobells - Tamil,Education,26900000,,843000,3700,
130,DrakeOfficial,http://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ,Drake,Music & Dance,26700000,United States,1900000,33700,2200
131,toypudding,http://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg,ToypuddingTV,,26700000,India,21800,651,7
132,zeenews,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ,Zee News,News & Politics,26400000,India,24900,537,38
133,MR. INDIAN HACKER,http://youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,,26400000,India,3400000,378900,13500
134,taylorgangent,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,Music & Dance,26400000,United States,184400,14600,835
135,Bounce Patrol - Kids Songs,http://youtube.com/channel/UC56cowXhoqRWHeqfSJkIQaA,Bounce Patrol - Kids Songs,Music & Dance,26200000,,202400,1100,
136,enchufetv,http://youtube.com/channel/UCoGDh1Xa3kUCpok24JN5DKA,enchufetv,,26200000,Ecuador,776900,56300,201
137,infobellstelugu,http://youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q,infobells - Telugu,Education,26200000,,1100000,6500,
138,TheDiamondMinecart,http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,Video games,26200000,United States,1300000,63300,5000000
139,Genevieve's Playhouse - Learning Videos for Kids,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w,Genevieve's Playhouse - Learning Videos for Kids,Toys,26200000,,432200,744,
140,AboFlah,http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA,AboFlah,AnimationVideo games,26000000,Iraq,4300000,623800,25200
141,WorldStarHipHopTV,http://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,Music & Dance,26000000,United States,51500,1700,176
142,adityamusic,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ,Aditya Music,Music & Dance,25800000,India,36200,1200,23
143,Vlad và Nikita,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg,Vlad và Nikita,MoviesHumor,25800000,,2800000,13700,
144,Diana and Roma ESP,http://youtube.com/channel/UCqNmJfc7RgMU6hTxOOuCYHQ,Diana and Roma ESP,Animation,25800000,,1700000,7100,
145,VanossGaming,http://youtube.com/channel/UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,AnimationVideo games,25800000,United States,1400000,59000,594
146,toycantando,http://youtube.com/channel/UC2xjgvWb9cx5F637XjsUNxw,toycantando,Music & DanceAnimation,25600000,,135700,621,
147,व्लाद और निकिता,http://youtube.com/channel/UCUMxxg0KvWiSWHUXRPpnKzw,व्लाद और निकिता,,25600000,,818100,4700,
148,LosPolinesios,http://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A,LosPolinesios,Music & DanceMovies,25600000,Mexico,1600000,66500,3300
149,1MILLION Dance Studio,http://youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,,25400000,India,61100,3300,50
150,xSkyHeLLxx,http://youtube.com/channel/UChMJkHCD2wdvSO7CMOuLR-w,Renato Garcia,MoviesAnimation,25400000,Brazil,998900,113700,1700
151,TwiNboTzVids,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,AnimationHumor,25100000,United States,936000,28200,1300
152,smosh,http://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg,Smosh,MoviesHumor,25000000,United States,249500,17300,558
153,jypentertainment,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,Music & Dance,25000000,United States,1800000,218500,8200
